day,users_count,questions_count,answers_count,comments_count,reactions_count,follows_count,blocks_count,mutes_count,reports_count,themes_count,user_bans_count,inbox_count
2017-03-29,2,1,1,0,0,0,0,0,0,0,0,0
2017-03-30,0,1,0,1,1,2,0,0,0,0,0,0
2017-03-31,11,47,43,2,6,17,0,0,0,1,0,5
2017-04-01,23,58,48,6,11,22,0,0,0,4,0,7
2017-04-02,3,16,14,2,11,12,0,0,0,0,0,4
2017-04-03,2,8,10,1,3,10,0,0,0,0,0,2
2017-04-04,1,6,7,0,1,1,0,0,0,0,0,3
2017-04-05,0,8,4,2,6,4,0,0,0,0,0,5
2017-04-06,0,9,8,0,1,7,0,0,0,0,0,1
2017-04-07,0,9,12,2,4,3,0,0,0,0,1,2
2017-04-08,0,2,2,0,4,0,0,0,0,0,0,1
2017-04-09,1,5,4,0,2,1,0,0,0,0,0,6
2017-04-10,1,4,3,0,1,4,0,0,0,0,0,4
2017-04-11,1,3,2,0,1,0,0,0,0,1,0,4
2017-04-12,0,2,4,1,3,0,0,0,0,0,0,4
2017-04-13,0,4,3,0,0,2,0,0,0,0,0,4
2017-04-14,0,64,2,1,4,0,0,0,0,0,0,65
2017-04-15,0,2,3,0,2,22,0,0,0,0,0,4
2017-04-16,1,1,1,0,1,0,0,0,0,1,0,3
2017-04-17,0,6,2,0,0,1,0,0,0,0,0,4
2017-04-18,1,2,1,0,0,0,0,0,0,1,0,3
2017-04-19,2,1,5,1,7,6,0,0,0,0,0,3
2017-04-20,0,13,15,0,3,0,0,0,0,0,0,6
2017-04-21,2,8,3,0,1,7,0,0,0,1,0,7
2017-04-22,1,1,1,2,1,1,0,0,0,1,0,5
2017-04-23,1,6,4,0,2,2,0,0,0,0,0,8
2017-04-24,0,9,12,8,16,1,0,0,0,0,0,8
2017-04-25,0,13,15,4,5,6,0,0,0,0,0,9
2017-04-26,0,4,5,0,2,0,0,0,0,0,0,4
2017-04-27,0,2,4,0,0,0,0,0,0,0,0,5
2017-04-28,1,7,6,3,9,1,0,0,0,0,0,10
2017-04-29,0,3,0,0,0,0,0,0,0,0,0,7
2017-04-30,1,79,9,2,5,0,0,0,0,0,0,77
2017-05-01,0,2,1,0,0,6,0,0,0,0,0,7
2017-05-02,2,6,6,1,3,10,0,0,0,0,0,6
2017-05-03,0,3,7,0,4,15,0,0,0,0,0,9
2017-05-04,1,28,18,1,2,1,0,0,0,0,0,15
2017-05-05,0,4,9,3,6,2,0,0,0,0,0,12
2017-05-06,1,22,19,10,19,2,0,0,0,0,0,22
2017-05-07,0,5,4,1,2,1,0,0,0,0,0,12
2017-05-08,2,6,8,3,7,2,0,0,0,0,0,7
2017-05-09,1,18,29,3,15,4,0,0,0,0,0,8
2017-05-10,1,2,3,0,0,0,0,0,0,0,0,14
2017-05-11,1,4,10,3,12,1,0,0,0,0,0,7
2017-05-12,2,4,0,0,0,2,0,0,0,0,0,7
2017-05-13,0,2,2,0,2,0,0,0,0,0,0,8
2017-05-14,2,16,20,13,22,12,0,0,0,0,0,6
2017-05-15,0,8,22,6,21,3,0,0,0,0,0,10
2017-05-16,0,3,8,2,9,5,0,0,0,1,0,9
2017-05-17,1,12,11,1,5,0,0,0,0,0,0,14
